First Name	Last Name	Age	03.05.1999
Ashton	Thompson	20	23.01.2002
Garry	Richardson	29	08.07.2002
Samantha	Warren	21	01.01.2003
Valeria	Adams	26	13.01.2003
Thomas	Kelley	20	19.05.2003
Chelsea	Roberts	27	03.09.2003
Julia	Stevens	22	13.04.2004
Amanda	Morris	28	12.05.2004
Grace	Edwards	26	13.01.2005
Rebecca	Craig	19	23.11.2005
Adele	Armstrong	24	07.03.2006
Steven	Russell	28	27.04.2006
Julian	Turner	26	13.02.2007
David	Roberts	18	11.04.2007
Aida	Andrews	28	24.08.2007
Darcy	Harper	30	28.08.2007
Chester	Alexander	30	17.09.2008
Eleanor	Riley	20	23.06.1998
Jared	Perkins	24	10.08.1998
Miller	Murphy	27	27.08.1999
Henry	Stevens	26	10.09.1999
Lily	Phillips	19	28.12.1999
Charlie	Watson	29	10.01.2000
Spike	Carroll	19	26.05.2000
Charlie	Campbell	25	02.05.2001
Vivian	Fowler	30	17.05.2001
Blake	Cameron	21	09.04.2002
Myra	Morris	26	26.11.2003
Jasmine	Martin	22	01.12.2003
Frederick	Cunningham	29	15.01.2004
Richard	Bailey	21	10.09.2004
Victoria	Andrews	20	21.01.2005
Mike	Alexander	21	04.07.2005
Jessica	Adams	23	31.07.2006
Agata	Perry	20	01.09.2006
Sienna	Chapman	28	17.10.2006
Melanie	Perkins	28	13.12.2006
Gianna	Richardson	22	25.04.2007
Cadie	Spencer	19	27.07.2007
Oscar	Riley	28	06.02.2008
Nicholas	Allen	19	20.02.2008
Carl	Lloyd	20	13.08.2008
Vivian	Spencer	27	23.06.1998
Sydney	Craig	26	10.08.1998
Lucia	Edwards	28	27.08.1999
Jenna	Baker	18	10.09.1999
Annabella	Carroll	26	28.12.1999
Belinda	Moore	27	10.01.2000
Joyce	Higgins	29	26.05.2000
Kelvin	Richards	21	02.05.2001
Myra	Chapman	20	17.05.2001
Florrie	Payne	29	09.04.2002
Alberta	Richardson	20	26.11.2003
Richard	Mason	20	01.12.2003
Martin	Edwards	21	15.01.2004
Bruce	Stewart	30	10.09.2004
Sydney	Armstrong	24	21.01.2005
Kirsten	Murray	19	04.07.2005
Naomi	Hall	23	31.07.2006
Preston	Harris	20	01.09.2006
George	Richardson	22	17.10.2006
Aiden	Holmes	22	13.12.2006
Vanessa	Spencer	30	25.04.2007
Anna	Morgan	29	27.07.2007
Aiden	Casey	23	06.02.2008
Sydney	Ross	27	20.02.2008
Aldus	Watson	24	13.08.2008
Maximilian	Armstrong	26	23.06.1998
